time,cycles,branches,instructions,cache-reference,cache-misses,bus-cycles
4.585753625,23481731,2415345,11237080,1520304,529686,245370
4.595992122,23354200,6751849,32179698,630507,263956,244229
4.606230403,19963154,2116941,32520861,798567,294891,207482
4.61653184,0,0,0,0,0,0
4.62669982,0,0,0,0,0,0
4.636876323,21959123,3661363,16010409,906858,233449,221392
4.647124063,24526800,4598387,16328307,698893,342520,247350
4.657475987,24578957,3273190,14649282,963636,333653,249270
4.667916602,24841618,3040423,12923342,1213158,492732,245594
4.6782268,24331107,4272509,20255202,912670,467370,245837
4.688549962,23674140,6890170,32326159,1198373,209760,246704
4.698856034,24588367,6761005,35391474,1054476,238757,245970
4.709158183,24557417,4699668,21866063,845029,431702,246735
4.719690068,25081777,1673891,9006055,1712891,392157,249862
4.729875537,24232901,2804818,13184819,1755279,302258,244358
4.740141818,24431576,2055355,9081027,1580464,386654,243257
4.750449287,24508860,1580479,7419355,1195098,378106,245794
4.760709048,24399031,1579357,8116738,1408280,301838,244109
4.770948277,24443364,1726010,8489907,1356624,323277,245653
4.781253949,24510016,1471234,6651438,1090898,304666,245187
4.791542801,24510422,1524857,7979576,1229297,321876,245457
4.80180616,24446663,1628657,7674518,1426307,276416,246511
4.812169847,24636594,1338933,7344759,1156991,388094,245717
4.822505,24666818,3665772,17231043,1870252,400379,246240
4.832721043,24699939,3094602,14357603,2161831,223604,243973
4.842993917,26166716,2323507,9707920,1470614,381821,244936
4.853303084,24869393,948167,4460916,702141,274532,243768
4.86356023,23350491,1555319,7058354,1353839,306305,244552
4.87385306,23640352,1781712,8375764,1409526,326550,245892
4.884114617,24416229,2165395,10933657,1602238,460605,244678
4.894401573,23541879,2535437,11874572,1710368,458137,245395
4.904672746,23431932,2622592,12237279,1742698,429748,244816
4.914928971,23332916,1318395,8432629,1219811,458698,243525
4.925143483,23413103,2902059,13680204,1965749,263746,245990
4.935505786,24628556,2770191,11316842,1803840,418236,245247
4.945695609,24181691,2362942,11072094,1649124,525049,243091
4.955925262,24224371,2026678,10252046,1435429,475495,243653
4.966178095,23890179,1611354,7583426,1275198,424563,244850
4.976434841,23379183,2137300,10165282,1534050,459339,243926
4.986710524,23509607,2269475,11702564,1583469,442813,246359
4.997014811,23544235,2547554,11951443,1725273,434128,245969
5.007337203,23486801,2532114,11936590,1710165,434630,245811
5.017623662,23396523,1486063,7000730,762850,420970,245127
5.027891447,23898995,2392045,13908117,1952801,274929,243782
5.038086772,24557610,3048795,14264301,2233052,163310,244147
5.048374249,25330615,2388522,10749181,1594039,419767,248393
5.059103828,24647446,2281513,6994608,713509,372809,251663
5.069425537,23570039,2558840,12049667,1740252,394811,246380
5.079672091,23365721,1844671,10827917,1581515,438049,244541
5.089987413,23504923,2095795,9824078,1413328,385100,246066
5.100291615,23502195,2101018,10847521,1596225,365068,245638
5.110582455,23520384,2281744,10744798,1536799,406145,246202
5.120887073,23504747,1564495,7040846,956760,425858,246014
5.131231361,23618133,1427009,5683665,1143570,334580,246982
5.141569107,23570489,2889369,13562704,2095780,276003,245867
5.151887393,24503221,2087076,12046314,1787353,516087,244965
